Ticket;Open Time;Type;Size;Item;Price;S / L;T / P;Close Time;Price;Commission;Taxes;Swap;Profit;
130201010;11.10.2022 5:12;sell;0.40;nzdjpy;80.837;81.029;64.613;11.10.2022 9:00;81.029;-2,80;0,00;0,00;-52,70;
130201037;11.10.2022 5:12;sell;0.40;nzdjpy;80.837;81.029;64.613;11.10.2022 9:00;81.029;-2,80;0,00;0,00;-52,70;
130215531;11.10.2022 7:30;buy;0.60;usdjpy;145.803;145.674;154.907;11.10.2022 9:31;145.674;-4,20;0,00;0,00;-53,13;
130215557;11.10.2022 7:30;buy;0.60;usdjpy;145.803;145.674;154.907;11.10.2022 9:31;145.674;-4,20;0,00;0,00;-53,13;
130227646;11.10.2022 5:07;sell;0.41;chfjpy;145.573;145.538;131.029;11.10.2022 9:32;145.538;-2,87;0,00;0,00;9,85;
130227653;11.10.2022 5:07;sell;0.41;chfjpy;145.573;145.762;131.029;11.10.2022 10:35;145.762;-2,87;0,00;0,00;-53,23;
130230606;11.10.2022 4:43;sell;0.53;cadjpy;105.598;105.406;95.982;11.10.2022 9:02;105.406;-3,71;0,00;0,00;69,80;
130230776;11.10.2022 4:43;sell;0.53;cadjpy;105.598;105.374;95.982;11.10.2022 12:16;105.374;-3,71;0,00;0,00;81,50;
130246065;11.10.2022 15:25;buy;0.20;gbpjpy;161.644;161.279;180.524;11.10.2022 16:31;161.279;-1,40;0,00;0,00;-50,10;
130246101;11.10.2022 15:25;buy;0.20;gbpjpy;161.644;161.279;180.524;11.10.2022 16:31;161.279;-1,40;0,00;0,00;-50,10;
